x_Timestamp,t_kWh,z_Avg Voltage (Volt),z_Avg Current (Amp),y_Freq (Hz),Date,Time
2021-01-02 00:00:00,0.002,253.36,0.25,50.09,2021-01-02,00:00:00
2021-01-02 00:03:00,0.002,253.87,0.25,50.11,2021-01-02,00:03:00
2021-01-02 00:06:00,0.02,253.25,1.67,50.14,2021-01-02,00:06:00
2021-01-02 00:09:00,0.045,252.2,3.52,50.12,2021-01-02,00:09:00
2021-01-02 00:12:00,0.044,252.28,3.53,50.07,2021-01-02,00:12:00
2021-01-02 00:15:00,0.042,252.51,3.15,50.1,2021-01-02,00:15:00
2021-01-02 00:18:00,0.001,253.97,0.14,50.08,2021-01-02,00:18:00
2021-01-02 00:21:00,0.001,253.93,0.14,50.03,2021-01-02,00:21:00
2021-01-02 00:24:00,0.001,253.79,0.14,50,2021-01-02,00:24:00
2021-01-02 00:27:00,0.001,253.81,0.14,50.02,2021-01-02,00:27:00
2021-01-02 00:30:00,0.001,254.18,0.14,50.04,2021-01-02,00:30:00
2021-01-02 00:33:00,0.001,254.2,0.14,50.03,2021-01-02,00:33:00
2021-01-02 00:36:00,0.001,254.39,0.14,50.02,2021-01-02,00:36:00
2021-01-02 00:39:00,0.001,254.58,0.13,50.06,2021-01-02,00:39:00
2021-01-02 00:42:00,0.001,254.53,0.14,50.04,2021-01-02,00:42:00
2021-01-02 00:45:00,0.001,254.68,0.14,50.02,2021-01-02,00:45:00
2021-01-02 00:48:00,0.001,254.56,0.14,50,2021-01-02,00:48:00
2021-01-02 00:51:00,0.002,254.58,0.14,50,2021-01-02,00:51:00
2021-01-02 00:54:00,0.001,254.63,0.14,50.04,2021-01-02,00:54:00
2021-01-02 00:57:00,0.001,254.74,0.14,50.06,2021-01-02,00:57:00
2021-01-02 01:00:00,0.001,254.75,0.14,50.02,2021-01-02,01:00:00
2021-01-02 01:03:00,0.001,254.93,0.14,50.02,2021-01-02,01:03:00
2021-01-02 01:06:00,0.001,255.31,0.14,50.02,2021-01-02,01:06:00
